Year,Title,Developer,Note,Platform,Publisher,Rank,Sales
2006,Lego Star Wars II: The Original Trilogy,Traveller's Tales,,,LucasArts,5.,
2006,Call of Duty 3,Treyarch,,,Activision,6.,
2006,Cars,Rainbow Studios,,,THQ,7.,
2006,Need for Speed: Carbon,EA Black Box,,,Electronic Arts,8.,
2006,Kingdom Hearts II,Square Enix PDD1,,,Square Enix,9.,
2006,Fight Night Round 3,EA Chicago,,,Electronic Arts,10,
2007,Halo 3,Bungie,,,Microsoft Game Studios,1.,"4,820,000"
2007,Wii Play,Nintendo EAD,,,Nintendo,2.,"4,120,000"
2007,Call of Duty 4: Modern Warfare,Infinity Ward,,,Activision,3.,"3,040,000"
2007,Super Mario Galaxy,Nintendo EAD,,,Nintendo,5.,"2,520,000"
2007,Madden NFL 08,EA Tiburon,,,Electronic Arts,7.,"1,900,000"
2007,Guitar Hero II,Harmonix,,,Activision,8.,"1,890,000"
2007,Assassin's Creed,Ubisoft Montreal,,,Ubisoft,9.,"1,870,000"
2007,Mario Party 8,Nintendo EAD,,,Nintendo,10.,"1,820,000"
2008,Wii Play,Nintendo EAD,,,Nintendo,1.,"5,280,000"
2008,Grand Theft Auto IV,Rockstar North,,,Take-Two Interactive,5.,"3,290,000"
2008,Call of Duty: World at War,Treyarch,,,Activision Blizzard,6.,"2,750,000"
2008,Gears of War 2,Epic Games,,,Xbox Game Studios,7.,"2,310,000"
2008,Grand Theft Auto IV,Rockstar North,,,Take-Two Interactive,8.,"1,890,000"
2008,Madden NFL 09,EA Tiburon,,,Electronic Arts,9.,"1,870,000"
2008,Mario Kart DS,Nintendo EAD,,,Nintendo,10.,"1,650,000"
2009,Call of Duty: Modern Warfare 2,Infinity Ward,,,Activision Blizzard,1.,"5,830,000"
2009,Wii Sports Resort,Nintendo EAD,,,Nintendo,2.,"4,220,000+"
2009,Call of Duty: Modern Warfare 2,Infinity Ward,,,Activision Blizzard,8.,"3,020,000"
2009,Halo 3: ODST,Bungie,,,Microsoft Game Studios,9.,"2,000,000+"
2009,Pokémon Platinum,Game Freak,,,Nintendo,10.,"1,900,000+"
2010,Call of Duty: Black Ops,Treyarch,,,Activision Blizzard,1.,
2010,Madden NFL 11,EA Tiburon,,,Electronic Arts,2.,
2010,Halo: Reach,Bungie,,,Microsoft Game Studios,3.,
2010,New Super Mario Bros. Wii,Nintendo EAD,,,Nintendo,4.,
2010,Red Dead Redemption,Rockstar San Diego,,,Take-Two Interactive,5.,
