Year,Game,Platform,Publisher
10.,Doom Eternal,id Software,Bethesda Softworks
1.,Call of Duty: Vanguard,Sledgehammer Games,Activision Blizzard
2.,Call of Duty: Black Ops Cold War,"Treyarch,Raven Software",
3.,Madden NFL 22,EA Tiburon,Electronic Arts
4.,Pokémon Brilliant Diamond and Shining Pearl,ILCA,Nintendo
5.,Battlefield 2042,DICE,Electronic Arts
6.,Marvel's Spider-Man: Miles Morales,Insomniac Games,Sony Interactive Entertainment
7.,Mario Kart 8 Deluxe,Nintendo EPD,Nintendo
8.,Resident Evil Village,Capcom,Capcom
9.,MLB The Show 21,San Diego Studio,"Sony Interactive Entertainment,MLBAM"
10.,Super Mario 3D World + Bowser's Fury,Nintendo EPD,Nintendo
1.,Call of Duty: Modern Warfare II,Infinity Ward,Activision Blizzard
2.,Elden Ring,FromSoftware,Bandai Namco
3.,Madden NFL 23,EA Orlando,Electronic Arts
4.,God of War Ragnarök,Santa Monica Studio,Sony Interactive Entertainment
5.,Lego Star Wars: The Skywalker Saga,Traveller's Tales,Warner Bros. Games
6.,Pokémon Scarlet and Violet,Game Freak,Nintendo
7.,FIFA 23,"EA Vancouver,EA Romania",Electronic Arts
8.,Pokémon Legends: Arceus,Game Freak,Nintendo
9.,Horizon Forbidden West,Guerrilla Games,Sony Interactive Entertainment
10.,MLB The Show 22,San Diego Studio,"Sony Interactive Entertainment,MLBAM"
1.,Hogwarts Legacy,Avalanche Software,Warner Bros. Games
2.,Call of Duty: Modern Warfare III,Sledgehammer Games,Activision Blizzard
3.,Madden NFL 24,EA Orlando,Electronic Arts
4.,Marvel's Spider-Man 2,Insomniac Games,Sony Interactive Entertainment
5.,The Legend of Zelda: Tears of the Kingdom,Nintendo EPD,Nintendo
6.,Diablo IV,Blizzard Entertainment,Activision Blizzard
7.,Call of Duty: Modern Warfare II,Infinity Ward,
8.,Mortal Kombat 1,NetherRealm Studios,Warner Bros. Games
9.,Star Wars Jedi: Survivor,Respawn Entertainment,Electronic Arts
10.,EA Sports FC 24,"EA Vancouver,EA Romania",
1.,EA Sports College Football 25,EA Orlando,Electronic Arts
2.,Helldivers 2,Arrowhead Game Studios,Sony Interactive Entertainment
3.,Call of Duty: Modern Warfare III,Sledgehammer Games,Activision Blizzard
4.,Dragon's Dogma II,Capcom,Capcom
5.,EA Sports MVP Bundle,EA Orlando,Electronic Arts
6.,Elden Ring,FromSoftware,Bandai Namco
7.,MLB The Show 24,San Diego Studio,"MLBAM,Sony Interactive Entertainment"
8.,WWE 2K24,Visual Concepts,Take-Two Interactive
9.,Final Fantasy VII Rebirth,Square Enix Creative Business Unit I,Square Enix
10.,Tekken 8,"Bandai Namco Studios,Arika",Bandai Namco Entertainment
