,title,publisher,release_date,Platform,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Released on PS2
6564,Winter Sports 2: The Next Challenge,Conspiracy Entertainment,2008-11-18,Wii,Sports,0.18,0.19,0.0,0.04,0.41,False
6565,The Darkness II,2K Games,2012-02-07,X360,Shooter,0.24,0.12,0.0,0.03,0.39,False
6566,Tales of Legendia,Namco,2006-02-07,PS2,Role-Playing,0.07,0.05,0.35,0.02,0.49,True
6567,WipeOut 3 The Game,Activision,2012-09-25,Wii,Action,0.38,0.0,0.0,0.03,0.4,False
6568,WipeOut 3 The Game,Activision,2012-11-18,Wii,Action,0.38,0.0,0.0,0.03,0.4,False
6569,Castlevania: Portrait of Ruin,Konami,2006-12-05,DS,Platform,0.33,0.03,0.04,0.03,0.43,False
6571,I-Ninja,Namco,2003-11-18,PS2,Platform,0.19,0.15,0.0,0.05,0.4,True
6572,I-Ninja,Namco,2003-12-04,PS2,Platform,0.19,0.15,0.0,0.05,0.4,True
6573,I-Ninja,Zoo Digital Publishing,2004-04-23,PS2,Platform,0.19,0.15,0.0,0.05,0.4,True
6574,Armored Core V,Namco Bandai,2012-03-20,PS3,Simulation,0.09,0.04,0.24,0.02,0.4,False
6575,Speed Racer: The Videogame,Warner Bros. Interactive,2008-05-06,Wii,Racing,0.36,0.02,0.0,0.03,0.41,False
6576,Speed Racer: The Videogame,Warner Bros. Interactive,2008-09-16,Wii,Racing,0.36,0.02,0.0,0.03,0.41,False
6577,Harvest Moon: Save the Homeland,Natsume,2001-11-22,PS2,Simulation,0.19,0.15,0.0,0.05,0.4,True
6578,Littlest Pet Shop,Electronic Arts,2008-10-14,Wii,Simulation,0.34,0.04,0.0,0.03,0.41,False
6579,Littlest Pet Shop,Electronic Arts,2008-10-20,Wii,Simulation,0.34,0.04,0.0,0.03,0.41,False
6580,Littlest Pet Shop,Electronic Arts,2009-12-14,Wii,Simulation,0.34,0.04,0.0,0.03,0.41,False
6581,SD Gundam G Generation Seed,Bandai,2004-02-19,PS2,Strategy,0.0,0.0,0.4,0.0,0.4,True
6582,Naruto: Path of the Ninja,D3 Publisher,2007-10-23,DS,Role-Playing,0.37,0.0,0.0,0.03,0.4,False
6583,Naruto: Path of the Ninja,Tomy Corporation,2004-07-22,DS,Role-Playing,0.37,0.0,0.0,0.03,0.4,False
6584,Sherlock Holmes: The Mystery of the Mummy,Focus Home Interactive,2009-07-14,DS,Adventure,0.06,0.3,0.0,0.04,0.4,False
6585,No More Heroes 2: Desperate Struggle,Ubisoft,2010-01-26,Wii,Action,0.21,0.12,0.04,0.03,0.41,False
6586,Suzuki TT Superbikes,Valcon Games,2005-08-04,PS2,Racing,0.33,0.01,0.0,0.05,0.4,True
6587,Planet 51,Sega,2009-11-17,DS,Action,0.22,0.14,0.0,0.04,0.4,False
6588,Rumble Roses,Konami,2004-11-09,PS2,Fighting,0.19,0.15,0.0,0.05,0.39,True
6589,Fishing Resort,Xseed Games,2011-11-22,Wii,Sports,0.16,0.0,0.25,0.01,0.42,False
6590,Fantastic Four: Rise of the Silver Surfer,2K Games,2007-06-15,PS2,Action,0.19,0.15,0.0,0.05,0.39,True
6591,Combat of Giants: Dinosaurs 3D,Ubisoft,2011-03-22,3DS,Strategy,0.25,0.06,0.05,0.03,0.39,False
6592,Danball Senki,Level 5,2011-06-16,PSP,Role-Playing,0.0,0.0,0.39,0.0,0.39,False
6593,NASCAR Heat,Hasbro Interactive,2000-11-06,PS,Racing,0.22,0.15,0.0,0.03,0.39,False
6594,NASCAR Heat,Hasbro Interactive,2000-09-27,PS,Racing,0.22,0.15,0.0,0.03,0.39,False
6595,NASCAR Heat,Majesco,2000-12-01,PS,Racing,0.22,0.15,0.0,0.03,0.39,False
6598,Bump 'n' Jump,Mattel Interactive,1983-01-01,2600,Racing,0.37,0.02,0.0,0.0,0.39,False
6599,Bump 'n' Jump,Victory Lap Games,1988-12-01,2600,Racing,0.37,0.02,0.0,0.0,0.39,False
6600,Bump 'n' Jump,Coleco,1984-06-05,2600,Racing,0.37,0.02,0.0,0.0,0.39,False
6601,Mobile Suit Gundam: Lost War Chronicles,Bandai,2002-08-01,PS2,Shooter,0.0,0.0,0.39,0.0,0.39,True
6602,Disney's Brother Bear,THQ,2003-11-04,GBA,Action,0.28,0.1,0.0,0.01,0.39,False
6603,Ener-G: Gym Rockets,Ubisoft,2008-10-21,DS,Sports,0.36,0.0,0.0,0.03,0.39,False
